,game,arena,stage,agent,human_data_type,alpha,Configuration,TV
0,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JN6YKMXAGXM4Y2XDFFR6V486,early,"{'center_weight': 1.0, 'connect_weight': 1.0, 'block_weight': 1.0}",should,0.5,All Components,0.4755621600099451
1,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JN6YKMXAGXM4Y2XDFFR6V486,early,"{'center_weight': 0.0, 'connect_weight': 1.0, 'block_weight': 1.0}",should,0.5,Ablate Center Weight,0.4733580089138059
2,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JN6YKMXAGXM4Y2XDFFR6V486,early,"{'center_weight': 1.0, 'connect_weight': 0.0, 'block_weight': 1.0}",should,0.5,Ablate Connect Weight,0.40932497621977176
3,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JN6YKMXAGXM4Y2XDFFR6V486,early,"{'center_weight': 1.0, 'connect_weight': 1.0, 'block_weight': 0.0}",should,0.5,Ablate Block Weight,0.4950237419390378
4,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JN6YKMXAGXM4Y2XDFFR6V486,early,"{'center_weight': 0.0, 'connect_weight': 0.0, 'block_weight': 1.0}",should,0.5,Only Block Weight,0.43925612170242073
5,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JN6YKMXAGXM4Y2XDFFR6V486,early,"{'center_weight': 0.0, 'connect_weight': 1.0, 'block_weight': 0.0}",should,0.5,Only Connect Weight,0.5354240114921298
6,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JN6YKMXAGXM4Y2XDFFR6V486,early,"{'center_weight': 1.0, 'connect_weight': 0.0, 'block_weight': 0.0}",should,0.5,Only Center Weight,0.6486168140844427
7,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JN6YKMXAGXM4Y2XDFFR6V486,intermediate,"{'center_weight': 1.0, 'connect_weight': 1.0, 'block_weight': 1.0}",should,0.5,All Components,0.4534818329522261
8,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JN6YKMXAGXM4Y2XDFFR6V486,intermediate,"{'center_weight': 0.0, 'connect_weight': 1.0, 'block_weight': 1.0}",should,0.5,Ablate Center Weight,0.4531634532173132
9,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JN6YKMXAGXM4Y2XDFFR6V486,intermediate,"{'center_weight': 1.0, 'connect_weight': 0.0, 'block_weight': 1.0}",should,0.5,Ablate Connect Weight,0.5676129265778487
10,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JN6YKMXAGXM4Y2XDFFR6V486,intermediate,"{'center_weight': 1.0, 'connect_weight': 1.0, 'block_weight': 0.0}",should,0.5,Ablate Block Weight,0.4311989811513486
11,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JN6YKMXAGXM4Y2XDFFR6V486,intermediate,"{'center_weight': 0.0, 'connect_weight': 0.0, 'block_weight': 1.0}",should,0.5,Only Block Weight,0.5874536394866794
