Board size,Winning condition,Label
3 x 3,3 pieces in a row wins.,simple-win
5 x 5,3 pieces in a row wins.,simple-win
10 x 10,4 pieces in a row wins.,simple-win
10 x 10,6 pieces in a row wins.,simple-win
5 x 5,5 pieces in a row wins.,simple-win
1 x 10,3 pieces in a row wins.,rectangle-board
4 x 9,4 pieces in a row wins.,rectangle-board
3 x 3,3 pieces in a row loses.,loss
10 x 10,"4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",no-diag
4 x 4,"3 pieces in a row wins. However, a player can only win by making a diagonal row. Horizontal and vertical rows do not count.",only-diag
10 x 10,"The first player needs 5 pieces in a row to win, but the second player only needs 4 pieces in a row to win.",diff-win
7 x 7,"4 pieces in a row wins. The second player can place 2 pieces as their first move, while the first player can only place 1 piece as their first move.",player2-2pieces
5 x 5,"4 pieces in a row wins. The first player can place 2 pieces as their first move, while the second player can only place 1 piece as their first move.",player1-2pieces
10 x 10,"Each player needs 5 pieces in a row to win. The first player cannot win by making a diagonal row (only horizontal and vertical rows count), but the second player does not have this restriction.",player1-constraintA
4 x 4,"Each player needs 3 pieces in a row to win. The first player can only win by making a diagonal row, but the second player does not have this restriction.",player1-constraintB
